source_file,model_name,dataset_name,fold,best_params_summary,emb_type,learning_rate,seed,dropout,dropout1,batch_size,num_epochs,emb_size,d_model,d_ff,num_attn_heads,nheads,n_blocks,num_layers,hidden_dim,final_fc_dim,final_fc_dim2,l3,l1,l2,start,answer_dim,skill_dim,epsilon,attention_dim,beta,dim_s,size_m,bf,difficult_levels,num_steps,weight_decay,lambda_w1,lambda_w2,lambda_r,n_know,kernel_size,graph_type,time_log,n_layer,cog_levels,gamma,lamb,acq_levels,n_mlp_hidden,n_rnn_hidden,n_hidden,n_rnn_layers,d_a,d_e,d_k,other_config,mlp_layer_num,num_en,loss3,loss2,loss1,k_index,sparse_ratio,r
akt.csv,akt,algebra2005,0,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.1, ""d_model"": 256, ""num_attn_heads"": 4, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.1,,,,,256.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,algebra2005,1,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 64, ""num_attn_heads"": 4, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.05,,,,,64.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,algebra2005,2,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 4, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.05,,,,,256.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,algebra2005,3,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.1, ""d_model"": 256, ""num_attn_heads"": 4, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.1,,,,,256.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,algebra2005,4,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 4, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.05,,,,,256.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2009,0,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.1, ""d_model"": 64, ""num_attn_heads"": 4, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.1,,,,,64.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2009,1,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.1, ""d_model"": 256, ""num_attn_heads"": 4, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.1,,,,,256.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2009,2,"{""emb_type"": ""qid"", ""d_ff"": 64, ""dropout"": 0.05, ""d_model"": 64, ""num_attn_heads"": 4, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.05,,,,,64.0,64.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2009,3,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 64, ""num_attn_heads"": 4, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.05,,,,,64.0,256.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2009,4,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.1, ""d_model"": 64, ""num_attn_heads"": 8, ""seed"": 3407, ""n_blocks"": 2, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.1,,,,,64.0,256.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2015,0,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 8, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 1e-05}",qid,1e-05,42,0.05,,,,,256.0,256.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2015,1,"{""emb_type"": ""qid"", ""d_ff"": 64, ""dropout"": 0.05, ""d_model"": 64, ""num_attn_heads"": 4, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.05,,,,,64.0,64.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2015,2,"{""emb_type"": ""qid"", ""d_ff"": 64, ""dropout"": 0.1, ""d_model"": 64, ""num_attn_heads"": 8, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.1,,,,,64.0,64.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2015,3,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 8, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 1e-05}",qid,1e-05,3407,0.05,,,,,256.0,256.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,assist2015,4,"{""emb_type"": ""qid"", ""d_ff"": 256, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 8, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 1e-05}",qid,1e-05,42,0.05,,,,,256.0,256.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,bridge2algebra2006,0,"{""emb_type"": ""qid"", ""d_ff"": 64, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 8, ""seed"": 3407, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,3407,0.05,,,,,256.0,64.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akt.csv,akt,bridge2algebra2006,1,"{""emb_type"": ""qid"", ""d_ff"": 64, ""dropout"": 0.05, ""d_model"": 256, ""num_attn_heads"": 8, ""seed"": 42, ""n_blocks"": 4, ""learning_rate"": 0.0001}",qid,0.0001,42,0.05,,,,,256.0,64.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
